rsid,metabolite_id,p,gene,study,biochemical_name
rs76328456,metabolite_182,8.18e-14,ACMSD,"Hysi, Mangino et. al. 2022",quinolinate
rs34927101,metabolite_100000010,8.03e-14,ACSM5,"Hysi, Mangino et. al. 2022",3-phenylpropionate (hydrocinnamate)
rs6672180,metabolite_999949557,7.28e-14,SLC44A5,"Hysi, Mangino et. al. 2022",X - 23680
rs147096448,metabolite_100001170,7.27e-14,PDLIM1,"Hysi, Mangino et. al. 2022",3-hydroxy-2-ethylpropionate
rs964184,metabolite_100010930,7.16e-14,ZPR1,"Hysi, Mangino et. al. 2022",palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*
rs117849125,metabolite_100001987,6.83e-14,AKR1C4,"Hysi, Mangino et. al. 2022","5alpha-androstan-3beta,17beta-diol disulfate"
rs17231506,metabolite_100010966,6.42e-14,CETP,"Hysi, Mangino et. al. 2022",1-palmityl-2-stearoyl-GPC (O-16:0/18:0)*
rs10873201,metabolite_100009008,6.07e-14,TMEM229B,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)*
rs4665972,metabolite_100008928,5.98e-14,SNX17,"Hysi, Mangino et. al. 2022",2-hydroxybutyrate/2-hydroxyisobutyrate
rs1047891,metabolite_999947815,5.61e-14,CPS1,"Hysi, Mangino et. al. 2022",X - 17325
rs174565,metabolite_100001580,5.61e-14,FADS2,"Hysi, Mangino et. al. 2022",docosapentaenoate (n6 DPA; 22:5n6)
rs530885291,metabolite_100008990,4.89e-14,SIDT2,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
rs183335264,metabolite_445,4.67e-14,HPR,"Hysi, Mangino et. al. 2022",orotate
rs4804669,metabolite_100005403,4.59e-14,ZNF799,"Hysi, Mangino et. al. 2022",etiocholanolone glucuronide
rs2338201,metabolite_100020343,4.58e-14,THEM4,"Hysi, Mangino et. al. 2022",tetradecadienoate (14:2)*
rs2554887,metabolite_100002199,4.3e-14,SLC27A2,"Hysi, Mangino et. al. 2022",tridecenedioate (C13:1-DC)*
rs769449,metabolite_266,3.81e-14,APOE,"Hysi, Mangino et. al. 2022",cholesterol
rs174568,metabolite_100009007,3.58e-14,FADS2,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*
rs304,metabolite_100002989,3.49e-14,LPL,"Hysi, Mangino et. al. 2022",oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
chr12:21369975,metabolite_999946592,3.47e-14,SLCO1B1,"Hysi, Mangino et. al. 2022",X - 11299
rs603424,metabolite_100005834,3.44e-14,PKD2L1,"Hysi, Mangino et. al. 2022",9-hydroxystearate
rs190712692,metabolite_100005986,3.22e-14,APOC1,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/24:1, d18:2/24:0)*"
rs113500008,metabolite_1102,3.08e-14,SLC16A10,"Hysi, Mangino et. al. 2022",gamma-glutamyltyrosine
rs35853021,metabolite_100010937,2.84e-14,LIPC,"Hysi, Mangino et. al. 2022",oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*
rs143370068,metabolite_100000007,2.8e-14,SLC36A2,"Hysi, Mangino et. al. 2022",carnitine
rs72551330,metabolite_100001034,2.77e-14,UGT1A8,"Hysi, Mangino et. al. 2022",indoleacetate
rs578222450,metabolite_100001485,2.72e-14,CARNS1,"Hysi, Mangino et. al. 2022",gamma-glutamylisoleucine*
rs9467618,metabolite_100002024,2.34e-14,SLC17A1,"Hysi, Mangino et. al. 2022","5alpha-androstan-3beta,17beta-diol monosulfate (2)"
rs531874876,metabolite_2054,2.27e-14,SOGA3,"Hysi, Mangino et. al. 2022",ethylmalonate
rs74823953,metabolite_100001540,2.07e-14,SLC36A3,"Hysi, Mangino et. al. 2022",pyroglutamine*
rs1169284,metabolite_100002528,2.05e-14,HNF1A,"Hysi, Mangino et. al. 2022",sulfate*
rs304,metabolite_100002990,1.97e-14,LPL,"Hysi, Mangino et. al. 2022",oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
rs438811,metabolite_100002990,1.91e-14,TOMM40,"Hysi, Mangino et. al. 2022",oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
rs7616839,metabolite_100001579,1.83e-14,TMEM45A,"Hysi, Mangino et. al. 2022",2-hydroxypalmitate
rs3816477,metabolite_100001668,1.7e-14,EEF1D,"Hysi, Mangino et. al. 2022",1-ribosyl-imidazoleacetate*
rs641738,metabolite_100008993,1.61e-14,TMC4,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
rs1223100496,metabolite_100009052,1.36e-14,BUD13,"Hysi, Mangino et. al. 2022",palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*
rs55971546,metabolite_100001657,1.14e-14,SLC10A2,"Hysi, Mangino et. al. 2022",glycolithocholate sulfate*
rs12149545,metabolite_100009009,1.14e-14,CETP,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*
rs975530777,metabolite_391,1e-14,CPS1,"Hysi, Mangino et. al. 2022",citrulline
rs1540037,metabolite_100000616,9.49e-15,LIPG,"Hysi, Mangino et. al. 2022",1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs62623594,metabolite_100000406,8.5e-15,FGGY,"Hysi, Mangino et. al. 2022",ribitol
rs139669326,metabolite_1094,8.25e-15,MUM1L1,"Hysi, Mangino et. al. 2022",thyroxine
rs1337523,metabolite_825,7.43e-15,DPYD,"Hysi, Mangino et. al. 2022",uracil
rs9689405,metabolite_100001397,7.37e-15,GSTA5,"Hysi, Mangino et. al. 2022","1,3,7-trimethylurate"
rs10814274,metabolite_100001882,7.05e-15,CREB3,"Hysi, Mangino et. al. 2022",glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
rs601338,metabolite_999946707,6.48e-15,FUT2,"Hysi, Mangino et. al. 2022",X - 17653
rs578222450,metabolite_100020893,6.35e-15,CARNS1,"Hysi, Mangino et. al. 2022","2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"
rs1561535,metabolite_1024,6.26e-15,CAD,"Hysi, Mangino et. al. 2022",pantothenate
rs174548,metabolite_100009134,5.88e-15,FADS1,"Hysi, Mangino et. al. 2022",1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)*
rs1592,metabolite_100000580,5.82e-15,CCNT2,"Hysi, Mangino et. al. 2022","1,5-anhydroglucitol (1,5-AG)"
rs2547244,metabolite_100001073,5.66e-15,CRX,"Hysi, Mangino et. al. 2022",androsterone sulfate
rs543237456,metabolite_1113,5.06e-15,PLXNB2,"Hysi, Mangino et. al. 2022",4-acetamidobutanoate
rs1265387721,metabolite_100021711,4.95e-15,SLC17A1,"Hysi, Mangino et. al. 2022",decadienedioic acid (C10:2-DC)**
rs766751473,metabolite_100002154,4.75e-15,SLC22A5,"Hysi, Mangino et. al. 2022",ergothioneine
rs544893824,metabolite_999947671,4.2e-15,ACSM2A,"Hysi, Mangino et. al. 2022",X - 18921
rs964184,metabolite_100001040,4.19e-15,ZPR1,"Hysi, Mangino et. al. 2022",1-linoleoylglycerol (18:2)
rs34564463,metabolite_100001654,4.08e-15,TMC4,"Hysi, Mangino et. al. 2022",1-arachidonoyl-GPI (20:4)*
rs174544,metabolite_100006292,4.06e-15,FADS1,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/20:1, d18:2/20:0)*"
rs174592,metabolite_100009161,3.36e-15,FADS2,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-myristoyl-GPC (P-16:0/14:0)*
rs76018454,metabolite_35,3.26e-15,TAS1R2,"Hysi, Mangino et. al. 2022",S-1-pyrroline-5-carboxylate
rs1165153,metabolite_100019794,2.97e-15,SLC17A1,"Hysi, Mangino et. al. 2022",hydroxy-CMPF*
rs1383123528,metabolite_999946695,2.66e-15,ANKRD28,"Hysi, Mangino et. al. 2022",X - 18913
rs9332996,metabolite_999952504,2.47e-15,CYP4A11,"Hysi, Mangino et. al. 2022",X - 24309
rs8101667,metabolite_100004635,2.06e-15,CEP89,"Hysi, Mangino et. al. 2022",methionine sulfone
rs144784111,metabolite_999952286,2.04e-15,L3HYPDH,"Hysi, Mangino et. al. 2022",X - 24243
rs10901047,metabolite_391,1.88e-15,ASS1,"Hysi, Mangino et. al. 2022",citrulline
rs9467618,metabolite_100001756,1.64e-15,SLC17A1,"Hysi, Mangino et. al. 2022",4-ethylphenylsulfate
rs1718309,metabolite_100000491,1.44e-15,PAH,"Hysi, Mangino et. al. 2022",gamma-glutamylphenylalanine
rs121434346,metabolite_100004523,1.34e-15,SLC6A19,"Hysi, Mangino et. al. 2022",N-delta-acetylornithine
rs78389613,metabolite_999952502,1.24e-15,DNAH9,"Hysi, Mangino et. al. 2022",X - 24307
rs406383,metabolite_1242,1.21e-15,ADA,"Hysi, Mangino et. al. 2022",N1-methyladenosine
rs1223100496,metabolite_100000616,1.07e-15,BUD13,"Hysi, Mangino et. al. 2022",1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs36146330,metabolite_100002014,8.61e-16,SULT2A1,"Hysi, Mangino et. al. 2022","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"
rs174533,metabolite_100001566,8.06e-16,MYRF,"Hysi, Mangino et. al. 2022",1-docosahexaenoyl-GPC (22:6)*
rs438811,metabolite_100002989,7.94e-16,TOMM40,"Hysi, Mangino et. al. 2022",oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
rs544893824,metabolite_999946363,7.86e-16,ACSM2A,"Hysi, Mangino et. al. 2022",X - 21319
rs78185702,metabolite_806,7.82e-16,ETFA,"Hysi, Mangino et. al. 2022",dimethylglycine
rs10632274,metabolite_100002126,6.4e-16,SLC17A3,"Hysi, Mangino et. al. 2022",16a-hydroxy DHEA 3-sulfate
rs4683714,metabolite_100009066,5.57e-16,PAQR9,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*
rs10228704,metabolite_100005403,5.19e-16,AKR1D1,"Hysi, Mangino et. al. 2022",etiocholanolone glucuronide
rs99780,metabolite_100008993,5.12e-16,FADS2,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
rs12212049,metabolite_100000015,4.87e-16,SLC17A4,"Hysi, Mangino et. al. 2022",xanthurenate
rs190202562,metabolite_194,4.8e-16,POC1A,"Hysi, Mangino et. al. 2022",N-formylmethionine
rs1223100496,metabolite_100010940,4.5e-16,BUD13,"Hysi, Mangino et. al. 2022","diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*"
rs73058498,metabolite_999949592,4.48e-16,SACM1L,"Hysi, Mangino et. al. 2022",X - 11315
rs9295741,metabolite_100008915,4.43e-16,ELOVL2,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
rs187047586,metabolite_338,4.22e-16,,"Hysi, Mangino et. al. 2022",gluconate
chr14:73997195,metabolite_999953267,3.79e-16,HEATR4,"Hysi, Mangino et. al. 2022",X - 24748
rs601338,metabolite_999946390,3.69e-16,FUT2,"Hysi, Mangino et. al. 2022",X - 11308
rs640777,metabolite_100001006,3.64e-16,GSTP1,"Hysi, Mangino et. al. 2022",N-acetylglycine
rs369281976,metabolite_100001446,2.78e-16,UPP1,"Hysi, Mangino et. al. 2022",5-methyluridine (ribothymidine)
rs7412,metabolite_100008956,2.77e-16,APOE,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"
rs9295741,metabolite_100009141,2.65e-16,ELOVL2,"Hysi, Mangino et. al. 2022",1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*
chr19:48383197,metabolite_100001999,2.33e-16,SULT2A1,"Hysi, Mangino et. al. 2022",21-hydroxypregnenolone disulfate
rs35980001,metabolite_100001571,2.08e-16,LIPC,"Hysi, Mangino et. al. 2022",1-arachidonoyl-GPE (20:4n6)*
rs1117816,metabolite_100002761,2.07e-16,TMPRSS11E,"Hysi, Mangino et. al. 2022",androsterone glucuronide
rs74827952,metabolite_100002129,1.54e-16,AKR1C4,"Hysi, Mangino et. al. 2022",pregnenolone sulfate
rs12878001,metabolite_1538,1.48e-16,SGPP1,"Hysi, Mangino et. al. 2022",stearoyl sphingomyelin (d18:1/18:0)
rs71553864,metabolite_999953267,1.45e-16,EPHX2,"Hysi, Mangino et. al. 2022",X - 24748
rs6586281,metabolite_799,1.31e-16,CBS,"Hysi, Mangino et. al. 2022",betaine
rs4680,metabolite_1342,1.14e-16,COMT,"Hysi, Mangino et. al. 2022",3-methoxytyrosine
rs3764261,metabolite_100015586,1.13e-16,CETP,"Hysi, Mangino et. al. 2022",1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*
rs12720926,metabolite_100008917,1.06e-16,CETP,"Hysi, Mangino et. al. 2022",1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1)
rs1171616,metabolite_100001956,8.3e-17,SLC16A9,"Hysi, Mangino et. al. 2022",N-methylproline
rs711752,metabolite_100009007,6.06e-17,CETP,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*
chr16:58800910,metabolite_100000463,5.64e-17,GOT2,"Hysi, Mangino et. al. 2022",indolelactate
rs35111362,metabolite_100001287,5.61e-17,TMPRSS11E,"Hysi, Mangino et. al. 2022",epiandrosterone sulfate
rs113546720,metabolite_100001757,5.53e-17,CYP2C19,"Hysi, Mangino et. al. 2022",thymol sulfate
rs7412,metabolite_100006295,5.28e-17,APOE,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"
chr6:160560880,metabolite_100002784,5.18e-17,SLC22A1,"Hysi, Mangino et. al. 2022",2-oxoarginine*
rs1223100496,metabolite_100009055,5.17e-17,BUD13,"Hysi, Mangino et. al. 2022",palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*
rs7412,metabolite_100002107,5.12e-17,APOE,"Hysi, Mangino et. al. 2022",palmitoyl sphingomyelin (d18:1/16:0)
rs247617,metabolite_100009020,4.46e-17,CETP,"Hysi, Mangino et. al. 2022",1-palmityl-2-oleoyl-GPC (O-16:0/18:1)*
rs17279437,metabolite_100020371,4.09e-17,SLC6A20,"Hysi, Mangino et. al. 2022","N,N-dimethylalanine"
rs28415528,metabolite_100000773,3.52e-17,THEM4,"Hysi, Mangino et. al. 2022",3-hydroxyoctanoate
rs1047891,metabolite_100001540,3.49e-17,CPS1,"Hysi, Mangino et. al. 2022",pyroglutamine*
rs190202562,metabolite_1083,3.33e-17,POC1A,"Hysi, Mangino et. al. 2022",N-acetylmethionine
rs12942352,metabolite_100001051,3.22e-17,CDK12,"Hysi, Mangino et. al. 2022",1-methylhistidine
rs12367888,metabolite_100001654,2.61e-17,SLCO1B1,"Hysi, Mangino et. al. 2022",1-arachidonoyl-GPI (20:4)*
rs71148512,metabolite_445,1.92e-17,DNAJA4,"Hysi, Mangino et. al. 2022",orotate
rs7412,metabolite_100009025,1.91e-17,APOE,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*"
rs9467618,metabolite_100002018,1.52e-17,SLC17A1,"Hysi, Mangino et. al. 2022","5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs1171619,metabolite_100001266,1.41e-17,SLC16A9,"Hysi, Mangino et. al. 2022",N-acetylarginine
rs72552254,metabolite_100000841,9.95e-18,SLC23A1,"Hysi, Mangino et. al. 2022",oxalate (ethanedioate)
rs942377,metabolite_999946364,9.72e-18,SLC17A1,"Hysi, Mangino et. al. 2022",X - 12847
rs4246215,metabolite_100001181,9.68e-18,FEN1,"Hysi, Mangino et. al. 2022",docosapentaenoate (n3 DPA; 22:5n3)
rs487624,metabolite_1342,9.18e-18,SLC17A3,"Hysi, Mangino et. al. 2022",3-methoxytyrosine
rs77387260,metabolite_2054,8.78e-18,ETFA,"Hysi, Mangino et. al. 2022",ethylmalonate
rs1532085,metabolite_100003901,8.7e-18,LIPC,"Hysi, Mangino et. al. 2022",2-stearoyl-GPE (18:0)*
rs174546,metabolite_100001778,8.31e-18,FADS1,"Hysi, Mangino et. al. 2022",1-linoleoyl-GPI (18:2)*
rs1165153,metabolite_100001178,7.06e-18,SLC17A1,"Hysi, Mangino et. al. 2022",3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
rs174583,metabolite_100009225,5.23e-18,FADS2,"Hysi, Mangino et. al. 2022",1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
rs11572093,metabolite_100020004,5.16e-18,CYP2C8,"Hysi, Mangino et. al. 2022",3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
rs1531022,metabolite_1111,5.06e-18,UGT2B17,"Hysi, Mangino et. al. 2022",vanillylmandelate (VMA)
rs113939203,metabolite_999946633,4.4e-18,SLC22A24,"Hysi, Mangino et. al. 2022",X - 12844
rs5855544,metabolite_100002021,3.71e-18,ZDHHC19,"Hysi, Mangino et. al. 2022","5alpha-androstan-3beta,17alpha-diol disulfate"
rs11045886,metabolite_999946594,3.34e-18,SLCO1B1,"Hysi, Mangino et. al. 2022",X - 11372
rs61896141,metabolite_100001739,2.88e-18,MYRF,"Hysi, Mangino et. al. 2022",dihomo-linolenate (20:3n3 or n6)
rs188136743,metabolite_100002528,2.45e-18,SLC13A1,"Hysi, Mangino et. al. 2022",sulfate*
chr10:96845842,metabolite_100002126,2.39e-18,CYP2C8,"Hysi, Mangino et. al. 2022",16a-hydroxy DHEA 3-sulfate
rs12192718,metabolite_815,2.32e-18,SLC16A10,"Hysi, Mangino et. al. 2022",tyrosine
rs11222,metabolite_999946364,2.08e-18,ARSE,"Hysi, Mangino et. al. 2022",X - 12847
rs112285002,metabolite_100020823,2.06e-18,SULT2A1,"Hysi, Mangino et. al. 2022",lithocholate sulfate (1)
rs1165153,metabolite_100001999,1.95e-18,SLC17A1,"Hysi, Mangino et. al. 2022",21-hydroxypregnenolone disulfate
rs10419308,metabolite_100009069,1.91e-18,TMEM86B,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
rs4149083,metabolite_100001951,1.58e-18,SLCO1B1,"Hysi, Mangino et. al. 2022","bilirubin (E,Z or Z,E)*"
rs190202562,metabolite_100001851,1.44e-18,POC1A,"Hysi, Mangino et. al. 2022",N-acetylserine
rs6975312,metabolite_1342,1.01e-18,DDC,"Hysi, Mangino et. al. 2022",3-methoxytyrosine
rs174576,metabolite_100009141,8.95e-19,FADS2,"Hysi, Mangino et. al. 2022",1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*
rs1219849860,metabolite_100008915,8.67e-19,MYRF,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
rs174568,metabolite_100002875,8.48e-19,FADS2,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-GPC (P-16:0)*
rs1667584,metabolite_1141,8.27e-19,WDR66,"Hysi, Mangino et. al. 2022",4-hydroxyphenylpyruvate
rs891532338,metabolite_100001662,8.19e-19,BBOX1,"Hysi, Mangino et. al. 2022",deoxycarnitine
rs964184,metabolite_100010941,7.28e-19,ZPR1,"Hysi, Mangino et. al. 2022",linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
rs438568,metabolite_1547,6.88e-19,SPTLC3,"Hysi, Mangino et. al. 2022",N-stearoyl-sphingosine (d18:1/18:0)*
rs13358334,metabolite_100002014,4.18e-19,UGT3A1,"Hysi, Mangino et. al. 2022","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"
rs10097337,metabolite_999949592,3.97e-19,PYCRL,"Hysi, Mangino et. al. 2022",X - 11315
rs10789116,metabolite_100008994,2.97e-19,DOCK7,"Hysi, Mangino et. al. 2022",1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
rs72815843,metabolite_100020371,2.7e-19,SLC16A9,"Hysi, Mangino et. al. 2022","N,N-dimethylalanine"
rs59428107,metabolite_100001999,2.62e-19,CYP4A11,"Hysi, Mangino et. al. 2022",21-hydroxypregnenolone disulfate
rs4785581,metabolite_100008939,2.45e-19,DPEP1,"Hysi, Mangino et. al. 2022",isoleucylleucine/leucylisoleucine
rs2224995,metabolite_100001541,2.33e-19,HAO2,"Hysi, Mangino et. al. 2022",2-hydroxy-3-methylvalerate
rs12610227,metabolite_100001882,2.22e-19,CERS4,"Hysi, Mangino et. al. 2022",glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
rs131805,metabolite_535,1.44e-19,SCO2,"Hysi, Mangino et. al. 2022",uridine
rs247617,metabolite_100009160,1.26e-19,CETP,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
rs4860948,metabolite_100005403,1.17e-19,TMPRSS11E,"Hysi, Mangino et. al. 2022",etiocholanolone glucuronide
rs12317268,metabolite_100003470,1.12e-19,SLCO1B1,"Hysi, Mangino et. al. 2022",pregnanediol-3-glucuronide
rs174564,metabolite_100001193,1.09e-19,FADS2,"Hysi, Mangino et. al. 2022",adrenate (22:4n6)
rs603424,metabolite_100021711,7.94e-20,PKD2L1,"Hysi, Mangino et. al. 2022",decadienedioic acid (C10:2-DC)**
rs1126742,metabolite_999953267,7.81e-20,CYP4A11,"Hysi, Mangino et. al. 2022",X - 24748
rs13204642,metabolite_999946970,5.68e-20,BPHL,"Hysi, Mangino et. al. 2022",X - 17676
rs174564,metabolite_1528,5.52e-20,FADS2,"Hysi, Mangino et. al. 2022",1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
rs1171614,metabolite_999932698,5.4e-20,SLC16A9,"Hysi, Mangino et. al. 2022",X - 11381
rs9467618,metabolite_100001287,5.35e-20,SLC17A1,"Hysi, Mangino et. al. 2022",epiandrosterone sulfate
rs174583,metabolite_100009069,4.05e-20,FADS2,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
rs56113850,metabolite_999946613,3.95e-20,CYP2A6,"Hysi, Mangino et. al. 2022",X - 12216
rs72796853,metabolite_100020541,3.72e-20,SPAST,"Hysi, Mangino et. al. 2022",11beta-hydroxyandrosterone glucuronide
rs2342307,metabolite_100001987,2.93e-20,ZDHHC19,"Hysi, Mangino et. al. 2022","5alpha-androstan-3beta,17beta-diol disulfate"
rs99780,metabolite_100001654,1.87e-20,FADS2,"Hysi, Mangino et. al. 2022",1-arachidonoyl-GPI (20:4)*
rs8105664,metabolite_1547,1.65e-20,CERS4,"Hysi, Mangino et. al. 2022",N-stearoyl-sphingosine (d18:1/18:0)*
rs7412,metabolite_100006294,1.61e-20,APOE,"Hysi, Mangino et. al. 2022",behenoyl sphingomyelin (d18:1/22:0)*
rs7350789,metabolite_100002060,1.53e-20,LIPC,"Hysi, Mangino et. al. 2022",1-docosahexaenoyl-GPE (22:6)*
rs869283,metabolite_999946608,1.41e-20,UGT1A8,"Hysi, Mangino et. al. 2022",X - 11880
rs35121878,metabolite_240,1.29e-20,SLC16A3,"Hysi, Mangino et. al. 2022",3-(4-hydroxyphenyl)lactate
rs7239738,metabolite_100006115,1.1e-20,ENOSF1,"Hysi, Mangino et. al. 2022",arabonate/xylonate
rs10774020,metabolite_100001668,1.05e-20,SLC6A13,"Hysi, Mangino et. al. 2022",1-ribosyl-imidazoleacetate*
rs111460093,metabolite_827,9.95e-21,SLC28A1,"Hysi, Mangino et. al. 2022",cytidine
rs12656482,metabolite_100001988,9.05e-21,UGT3A1,"Hysi, Mangino et. al. 2022","5alpha-pregnan-3beta,20alpha-diol disulfate"
rs7552404,metabolite_999947671,7.48e-21,SLC44A5,"Hysi, Mangino et. al. 2022",X - 18921
rs438811,metabolite_100010937,5.9e-21,TOMM40,"Hysi, Mangino et. al. 2022",oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*
rs1741,metabolite_100001552,4.83e-21,PDXDC1,"Hysi, Mangino et. al. 2022",1-dihomo-linolenoyl-GPC (20:3n3 or 6)*
rs8044136,metabolite_278,3.62e-21,DPEP1,"Hysi, Mangino et. al. 2022",cysteinylglycine
rs438811,metabolite_100010922,3.46e-21,TOMM40,"Hysi, Mangino et. al. 2022",linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*
rs45446698,metabolite_100005403,2.91e-21,CYP3A5,"Hysi, Mangino et. al. 2022",etiocholanolone glucuronide
rs71497415,metabolite_100000463,2.24e-21,TBC1D13,"Hysi, Mangino et. al. 2022",indolelactate
rs6951810,metabolite_503,1.88e-21,GBAS,"Hysi, Mangino et. al. 2022",serine
rs9282858,metabolite_100005403,1.48e-21,SRD5A2,"Hysi, Mangino et. al. 2022",etiocholanolone glucuronide
rs72551330,metabolite_100020004,1.42e-21,UGT1A8,"Hysi, Mangino et. al. 2022",3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
rs7199750,metabolite_189,1.39e-21,PRMT7,"Hysi, Mangino et. al. 2022","N6,N6,N6-trimethyllysine"
rs7412,metabolite_100006290,1.36e-21,APOE,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/20:0, d16:1/22:0)*"
rs924022773,metabolite_999946259,1.26e-21,CYP2C9,"Hysi, Mangino et. al. 2022",X - 21258
rs6701914,metabolite_2054,1.14e-21,LYPLAL1,"Hysi, Mangino et. al. 2022",ethylmalonate
rs99780,metabolite_100008977,1.09e-21,FADS2,"Hysi, Mangino et. al. 2022",1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
rs12921667,metabolite_999947790,7.35e-22,GOT2,"Hysi, Mangino et. al. 2022",X - 13684
rs12149545,metabolite_100009162,7.15e-22,CETP,"Hysi, Mangino et. al. 2022",1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
rs1126742,metabolite_999947670,6.34e-22,CYP4A11,"Hysi, Mangino et. al. 2022",X - 18899
rs11045886,metabolite_999946608,6.27e-22,SLCO1B1,"Hysi, Mangino et. al. 2022",X - 11880
rs11043003,metabolite_1342,3.89e-22,TH,"Hysi, Mangino et. al. 2022",3-methoxytyrosine
rs1321940,metabolite_100009025,3.79e-22,SPTLC3,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*"
rs9467618,metabolite_100001073,3.75e-22,SLC17A1,"Hysi, Mangino et. al. 2022",androsterone sulfate
rs174533,metabolite_100001229,3.75e-22,MYRF,"Hysi, Mangino et. al. 2022",stearidonate (18:4n3)
rs532562617,metabolite_100000616,3.73e-22,DOCK7,"Hysi, Mangino et. al. 2022",1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs1061808,metabolite_100000657,3.52e-22,"PPT2,EGFL8,AGPAT1","Hysi, Mangino et. al. 2022","1,2-dipalmitoyl-GPC (16:0/16:0)"
rs8008070,metabolite_100008920,2.36e-22,SGPP1,"Hysi, Mangino et. al. 2022","sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"
rs111306756,metabolite_100001051,1.81e-22,SLC6A19,"Hysi, Mangino et. al. 2022",1-methylhistidine
rs72719670,metabolite_999946390,1.39e-22,ACOT6,"Hysi, Mangino et. al. 2022",X - 11308
rs536141234,metabolite_100020409,1.32e-22,CD2BP2,"Hysi, Mangino et. al. 2022",ascorbic acid 3-sulfate*
